Date,Sales,Quantity Sold,Unit_Price,Avg_Unit_Price,Cost Of Sales,Daily_Gross_Profit,Gross_Profit_per_Unit,Promo_1,Promo_2,Promo_3,Total_Sales,Total_Cost,Total_Gross_Profit,Total_Units,Avg_Price,Avg_GrossProfit
2013-12-30,223937.9679,6827,32.801811615643764,35.40044687766667,230079.621,-2.7425689165593368,-0.8996122894389958,0,0,0,186909828.25687966,194026109.44628012,-7116281.1894,5279872,37.07285158158659,-0.874976653169138
2013-12-31,300345.4846,9268,32.40672039274925,35.40044687766667,306986.1205,-2.210999079557993,-0.7165122895986182,0,0,0,186909828.25687966,194026109.44628012,-7116281.1894,5279872,37.07285158158659,-0.874976653169138
2014-01-01,86782.46773,2678,32.40570116878268,35.40044687766667,87986.31821,-1.3872047102249343,-0.44953341299476984,0,0,0,186909828.25687966,194026109.44628012,-7116281.1894,5279872,37.07285158158659,-0.874976653169138
2014-01-02,200173.1168,6175,32.416699076923074,35.40044687766667,202881.1777,-1.3528594365175073,-0.43855237246963746,0,0,0,186909828.25687966,194026109.44628012,-7116281.1894,5279872,37.07285158158659,-0.874976653169138
2014-01-03,326906.0742,10084,32.41829375247917,35.40044687766667,333806.2919,-2.1107646032231595,-0.6842738694962354,0,0,0,186909828.25687966,194026109.44628012,-7116281.1894,5279872,37.07285158158659,-0.874976653169138
2014-01-04,307043.9354,9470,32.42280204857445,35.40044687766667,313652.3483,-2.152269476155234,-0.6978260718057018,0,0,0,186909828.25687966,194026109.44628012,-7116281.1894,5279872,37.07285158158659,-0.874976653169138
2014-01-05,179188.8845,5524,32.43824846125995,35.40044687766667,183083.285,-2.1733493742464915,-0.7049964699493153,0,0,0,186909828.25687966,194026109.44628012,-7116281.1894,5279872,37.07285158158659,-0.874976653169138
2014-01-06,306351.9509,9448,32.42505830863675,35.40044687766667,313446.0681,-2.3156755421856787,-0.7508591447925465,0,0,0,186909828.25687966,194026109.44628012,-7116281.1894,5279872,37.07285158158659,-0.874976653169138
2014-01-07,224020.41,6911,32.41504992041673,35.40044687766667,229533.9737,-2.4611881122795904,-0.7977953552307914,0,0,0,186909828.25687966,194026109.44628012,-7116281.1894,5279872,37.07285158158659,-0.874976653169138
2014-01-08,101836.4022,2990,34.058997391304345,35.40044687766667,99381.96752,2.410174188184342,0.8208811638795958,0,0,0,186909828.25687966,194026109.44628012,-7116281.1894,5279872,37.07285158158659,-0.874976653169138
2014-01-09,107804.3049,3159,34.12608575498576,35.40044687766667,104816.4585,2.7715464635401674,0.9458203228869926,0,0,0,186909828.25687966,194026109.44628012,-7116281.1894,5279872,37.07285158158659,-0.874976653169138
2014-01-10,144829.9567,4246,34.10974015544042,35.40044687766667,141333.9963,2.4138379100958542,0.8233538389072094,0,0,0,186909828.25687966,194026109.44628012,-7116281.1894,5279872,37.07285158158659,-0.874976653169138
2014-01-11,146571.4824,4297,34.11018906213638,35.40044687766667,143179.67,2.3141011774334044,0.7893442867116582,0,0,0,186909828.25687966,194026109.44628012,-7116281.1894,5279872,37.07285158158659,-0.874976653169138
2014-01-12,95422.37298,2796,34.12817345493562,35.40044687766667,93126.14724,2.406380881432566,0.8212538412017147,0,0,0,186909828.25687966,194026109.44628012,-7116281.1894,5279872,37.07285158158659,-0.874976653169138
